paz	offset	packed_size	original_size	path
608	2929932	63960	63944	sound2022/windows/chinese(prc)/npc_vce_378_7_5_emptyobj.bnk
608	2993892	28336	28321	sound2022/windows/chinese(prc)/npc_vce_378_7_6_emptyobj.bnk
608	3022228	42544	42528	sound2022/windows/chinese(prc)/npc_vce_378_7_7_emptyobj.bnk
608	3064772	72616	72603	sound2022/windows/chinese(prc)/npc_vce_378_7_8_emptyobj.bnk
608	3137388	44344	44330	sound2022/windows/chinese(prc)/npc_vce_378_7_9_emptyobj.bnk
608	3181732	54328	54312	sound2022/windows/chinese(prc)/npc_vce_378_8_10_emptyobj.bnk
608	3236060	27104	27092	sound2022/windows/chinese(prc)/npc_vce_378_8_11_emptyobj.bnk
608	3263164	44544	44530	sound2022/windows/chinese(prc)/npc_vce_378_8_12_emptyobj.bnk
608	3307708	33536	33527	sound2022/windows/chinese(prc)/npc_vce_378_8_13_emptyobj.bnk
608	3341244	37528	37519	sound2022/windows/chinese(prc)/npc_vce_378_8_14_emptyobj.bnk
608	3378772	52848	52832	sound2022/windows/chinese(prc)/npc_vce_378_8_1_emptyobj.bnk
608	3431620	67080	67067	sound2022/windows/chinese(prc)/npc_vce_378_8_2_emptyobj.bnk
608	3498700	58480	58464	sound2022/windows/chinese(prc)/npc_vce_378_8_3_emptyobj.bnk
608	3557180	58448	58434	sound2022/windows/chinese(prc)/npc_vce_378_8_4_emptyobj.bnk
608	3615628	55440	55429	sound2022/windows/chinese(prc)/npc_vce_378_8_5_emptyobj.bnk
608	3671068	60176	60167	sound2022/windows/chinese(prc)/npc_vce_378_8_6_emptyobj.bnk
608	3731244	59024	59013	sound2022/windows/chinese(prc)/npc_vce_378_8_7_emptyobj.bnk
608	3790268	34768	34755	sound2022/windows/chinese(prc)/npc_vce_378_8_8_emptyobj.bnk
608	3825036	62368	62354	sound2022/windows/chinese(prc)/npc_vce_378_8_9_emptyobj.bnk
608	3887404	37816	37804	sound2022/windows/chinese(prc)/npc_vce_378_9_1_emptyobj.bnk
608	3925220	43440	43426	sound2022/windows/chinese(prc)/npc_vce_378_9_2_emptyobj.bnk
608	3968660	41104	41088	sound2022/windows/chinese(prc)/npc_vce_378_9_3_emptyobj.bnk
608	4009764	43408	43395	sound2022/windows/chinese(prc)/npc_vce_378_9_4_emptyobj.bnk
608	4053172	46744	46732	sound2022/windows/chinese(prc)/npc_vce_378_9_5_emptyobj.bnk
608	4099916	24864	24854	sound2022/windows/chinese(prc)/npc_vce_378_9_6_emptyobj.bnk
608	4124780	47224	47213	sound2022/windows/chinese(prc)/npc_vce_378_9_7_emptyobj.bnk
608	4172004	33992	33979	sound2022/windows/chinese(prc)/npc_vce_378_9_8_emptyobj.bnk
608	4205996	632	627	sound2022/windows/cs_pedu_00_00_prologue_sound.bnk
608	4206628	1188544	1188535	sound2022/windows/cs_pedu_00_02_intro_sound.bnk
608	5395172	157816	157807	sound2022/windows/cs_pedu_00_03_walkhakinja_sound.bnk
608	5552988	13760	37158	sound2022/windows/cs_pedu_00_04_meetwariyana_sound.bnk
608	5566748	14976	35157	sound2022/windows/cs_pedu_00_05_enterhakinja_sound.bnk
608	5581724	21080	49359	sound2022/windows/cs_pedu_00_06_battleathakinja_sound.bnk
608	5602804	9080	15488	sound2022/windows/cs_pedu_00_07_newadventure_sound.bnk
608	5611884	4092736	4092722	sound2022/windows/cs_pedu_01_00_aeterion_sound.bnk
608	9704620	9446008	9445995	sound2022/windows/cs_pedu_01_01_bossjordine_sound.bnk
608	19150628	1251384	1251371	sound2022/windows/cs_pedu_01_02_afterjordine_sound.bnk
608	20402012	285592	285576	sound2022/windows/cs_pedu_01_03_aeterionmuraka_sound.bnk
608	20687604	1650656	1650646	sound2022/windows/cs_pedu_02_01_orbitameetbrandt_sound.bnk
608	22338260	1191008	1190999	sound2022/windows/cs_pedu_02_02_orbitastone_sound.bnk
608	23529268	10096	14068	sound2022/windows/cs_pedu_02_03_orbitarush_sound.bnk
608	23539364	9368	16038	sound2022/windows/cs_pedu_02_04_orbitameetenslar_sound.bnk
608	23548732	37696	73647	sound2022/windows/cs_pedu_02_05_bossenslar_sound.bnk
608	23586428	13880	23585	sound2022/windows/cs_pedu_03_00_silentsea_sound.bnk
608	23600308	14488	34518	sound2022/windows/cs_pedu_03_01_tragicreunion_sound.bnk
608	23614796	2816112	2816101	sound2022/windows/cs_pedu_03_02_meetrusalka_sound.bnk
608	26430908	48	48	sound2022/windows/cs_pedu_03_04_meetdodi_sound.bnk
608	26430956	7040	11851	sound2022/windows/cs_pedu_04_01_tenebraumfirstmemory_sound.bnk
608	26437996	6168	19339	sound2022/windows/cs_pedu_04_03_tenebraumlastmemory_sound.bnk
608	26444164	280776	280764	sound2022/windows/cs_pedu_04_04_tenebraumaltar_sound.bnk
608	26724940	5416	12213	sound2022/windows/cs_pedu_04_05_tenebraumdisappear_sound.bnk
608	26730356	32368	74508	sound2022/windows/cs_pedu_04_07_tenebraumencounter_sound.bnk
608	26762724	12320	32347	sound2022/windows/cs_pedu_05_00_zephyrosenter_sound.bnk
608	26775044	5512	6237	sound2022/windows/cs_pedu_05_01_zephyrosbattle_sound.bnk
608	26780556	15520	28782	sound2022/windows/cs_pedu_05_02_zephyrosmeetgoyen_sound.bnk
608	26796076	48	48	sound2022/windows/cs_pedu_05_03_zephyrosrush_sound.bnk
608	26796124	17880	33701	sound2022/windows/cs_pedu_05_04_zephyrostoad_sound.bnk
608	26814004	13304	26494	sound2022/windows/cs_pedu_05_06_meetcaphras_sound.bnk
608	26827308	46528	100566	sound2022/windows/cs_pedu_05_07_bosscaphras_sound.bnk
608	26873836	17096	28069	sound2022/windows/cs_pedu_05_08_illezraappear_sound.bnk
608	26890932	11056	15545	sound2022/windows/cs_pedu_06_00_ending_sound.bnk
608	26901988	12216	20640	sound2022/windows/cs_pedu_06_01_pt2cookie_sound.bnk
608	26914204	14512	35617	sound2022/windows/cs_pedu_07_01_armor_sound.bnk
608	26928716	69600	69584	sound2022/windows/effect_28_12.bnk
608	26998316	57256	57240	sound2022/windows/effect_28_13.bnk
608	27055572	128632	128623	sound2022/windows/effect_28_14.bnk
608	27184204	47520	47510	sound2022/windows/effect_28_15.bnk
608	27231724	125224	125212	sound2022/windows/effect_28_16.bnk
608	27356948	95368	95352	sound2022/windows/effect_28_17.bnk
608	27452316	61632	61618	sound2022/windows/effect_29_27.bnk
608	27513948	85616	85600	sound2022/windows/effect_29_29.bnk
608	27599564	172016	172007	sound2022/windows/effect_29_30.bnk
608	27771580	36360	36348	sound2022/windows/effect_29_31.bnk
608	27807940	119704	119688	sound2022/windows/effect_31_65.bnk
608	27927644	448584	448575	sound2022/windows/monster_fx_atoraxion_rulsaka_manager_normal_0.bnk
608	28376228	1219080	1219064	sound2022/windows/monster_fx_m0047_naga_0001_normal_0.bnk
608	29595308	766360	766349	sound2022/windows/monster_fx_m0050_camelizardrider_naga_0002_normal_0.bnk
5536	300	2250744	2250728	sound2022/windows/monster_fx_m0054_harpy_0015_normal_0.bnk
5536	2251044	445600	445589	sound2022/windows/monster_fx_m0091_naga_0001_normal_0.bnk
5536	2696644	3163864	3163850	sound2022/windows/monster_fx_m0175_dragon_0006_summon_0.bnk
5536	5860508	8818512	8818498	sound2022/windows/monster_fx_m0520_enslarknight_0001_boss_0.bnk
5537	292	2540904	2540888	sound2022/windows/monster_fx_m0520_enslarknight_gimmick_0.bnk
5537	2541196	1172984	1172971	sound2022/windows/monster_fx_m0520_enslarknight_summon.bnk
5537	3714180	3241144	3241131	sound2022/windows/monster_fx_m0520_enslarknight_summon_0.bnk
5537	6955324	6708728	6708716	sound2022/windows/monster_fx_m0522_rusalka_boss_0.bnk
5538	812	371872	371860	sound2022/windows/monster_fx_rulsaka_column_normal_0.bnk
5538	372684	463992	463983	sound2022/windows/monster_fx_rulsaka_manager_normal_0.bnk
5538	836676	1101088	1101073	sound2022/windows/monster_fx_rulsaka_tower_normal_0.bnk
5538	1937764	12424	21365	sound2022/windows/object_11_56.bnk
5538	1950188	1230912	1230900	sound2022/windows/chinese(prc)/cs_pedu_00_00_prologue_vce.bnk
5538	3181100	38280	38266	sound2022/windows/chinese(prc)/cs_pedu_00_02_intro_vce.bnk
5538	3219380	444544	444529	sound2022/windows/chinese(prc)/cs_pedu_00_03_walkhakinja_vce.bnk
5538	3663924	748552	748538	sound2022/windows/chinese(prc)/cs_pedu_00_04_meetwariyana_vce.bnk
5538	4412476	550568	550555	sound2022/windows/chinese(prc)/cs_pedu_00_05_enterhakinja_vce.bnk
5538	4963044	801080	801064	sound2022/windows/chinese(prc)/cs_pedu_00_06_battleathakinja_vce.bnk
5538	5764124	9024	9012	sound2022/windows/chinese(prc)/cs_pedu_00_07_newadventure_vce.bnk
5538	5773148	842480	842464	sound2022/windows/chinese(prc)/cs_pedu_01_00_aeterion_vce.bnk
5538	6615628	3171544	3171532	sound2022/windows/chinese(prc)/cs_pedu_01_01_bossjordine_vce.bnk
5539	892	991296	991280	sound2022/windows/chinese(prc)/cs_pedu_01_02_afterjordine_vce.bnk
5539	992188	414224	414211	sound2022/windows/chinese(prc)/cs_pedu_01_03_aeterionmuraka_vce.bnk
